"","Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","WIN","SPR","SUM","AUT","ANN"
"89",1998,93.6,14.7,68.8,118.9,52.8,105.8,58.6,47,57.7,114.2,71.2,59.3,"203.7",240.5,211.4,243,862.6
"90",1999,94.3,32.6,89.5,56.4,53.8,81.7,22.1,82.8,76.7,66.2,53.3,92.2,"186.2",199.6,186.6,196.2,801.7
"91",2000,47.5,53,30.6,135,72.3,57.4,56.3,58.9,109.8,119,147.1,85.9,"192.8",237.8,172.6,375.8,972.6
"92",2001,44,96.2,52.4,87.7,25.7,56.4,59,78.6,94.4,92,50.9,48.9,"226.1",165.8,194,237.2,786.1
"93",2002,58.1,104.6,40.1,31.9,62.4,54.1,92.2,88.6,31.1,123.9,107,109.1,"211.6",134.4,234.9,262,903
"94",2003,82.8,24.3,27.9,31.7,67.5,84.1,53.1,17.4,43.8,46.6,58.5,77.1,"216.2",127.1,154.6,148.9,614.7
"95",2004,106.9,52.4,41.9,84,30.1,73.3,81.4,166.6,35.9,126.4,35.4,37.9,"236.4",155.9,321.4,197.7,872.3
"96",2005,61.7,61.5,48,77.9,43.6,50,77.9,63,62,89.3,71.9,45.6,"161.1",169.5,190.9,223.3,752.4
"97",2006,29.1,49.5,85.9,38.7,96.2,18.7,30.3,107.7,73.2,82.9,67.1,88.7,"124.2",220.8,156.6,223.2,767.9
"98",2007,84.3,71.7,39.3,10,77.1,181.8,113.6,43.2,40.2,31,61,71.8,"244.7",126.3,338.6,132.2,825
"99",2008,137.1,33.3,75.8,77.3,25.5,75.9,106.2,111,108.2,74.2,67.3,59.7,"242.2",178.5,293,249.7,951.5
"100",2009,61.8,49.6,31.3,29.6,51.9,55.4,133.5,62.3,31.4,61.8,147.5,87.4,"171.2",112.8,251.2,240.7,803.6
"101",2010,69.5,71.7,65.1,21.4,22.1,42.7,61.1,76.6,83.9,65,118.2,40.7,"228.7",108.6,180.5,267.2,738.3
"102",2011,54.5,82,20.5,10.3,48.5,62.9,71.7,94.1,43.2,62.1,35.6,76.2,"177.2",79.4,228.7,140.9,661.7
"103",2012,47.2,24.2,21.9,140.9,62.3,141.5,96.3,87.6,95.3,86.4,111.8,127.7,"147.6",225.1,325.4,293.5,1043
"104",2013,69.8,34.3,60.1,22.1,76.4,40.8,55.9,61.2,44.1,111.5,52.5,76.7,"231.8",158.6,157.9,208.1,705.5
"105",2014,118.5,81.8,44.2,42,104.4,45.5,54.7,96.2,18.2,83,81.6,61.1,"277.1",190.7,196.4,182.7,831.2
"106",2015,62.7,37,45.6,25.6,82.5,34.9,85.3,73.2,39.1,65,116.6,148,"160.8",153.8,193.3,220.7,815.5
"107",2016,121.7,53,66.3,70.3,36.2,76.5,51.2,73.2,48.6,50.1,93.1,37.9,"322.6",172.9,200.9,191.8,778.2
"108",2017,39.4,65.9,63.9,19.4,42.9,116,81.7,64.4,85,50.1,69.1,56.8,"143.2",126.1,262,204.2,754.5
"109",2018,71.5,46.7,95.3,78.2,35.5,26.6,42.6,57.7,175.1,209,126.9,NA,"",NA,NA,NA,NA
