"","Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","WIN","SPR","SUM","AUT","ANN"
"63",1972,5.1,5.5,9,11,13.7,15.4,18.4,18.4,14.8,13.4,8.3,7,"6.34",11.22,17.39,12.15,11.68
"64",1973,6,7.1,10.2,9.8,14.1,18.9,18.7,19.3,17,11.6,7.8,6.7,"6.69",11.36,18.97,12.15,12.3
"65",1974,7.7,7.4,7.6,9.9,14.6,16.7,18.1,18.7,14.9,9.8,8.2,9.3,"7.25",10.7,17.87,10.94,11.94
"66",1975,8.4,6.3,6.9,11,12.2,18.4,20.5,22.7,16.5,12.6,8.3,7.4,"8.05",10.01,20.53,12.44,12.63
"67",1976,7.2,6.4,6.9,10.6,14.6,20.9,22.3,21.2,15.7,12.7,8,3.4,"7.00",10.7,21.44,12.12,12.49
"68",1977,4,5.9,9.1,10.1,13.1,15.3,18.6,18.1,16,13.9,8.2,7.3,"4.38",10.76,17.37,12.68,11.66
"69",1978,4.5,3.7,9.4,8.5,14.3,16.8,17.4,17.6,16.7,14.3,10.6,5,"5.21",10.77,17.29,13.88,11.63
"70",1979,1.9,2.6,6.5,10,13.2,17.5,19.4,18,16.9,13.5,8.8,6.8,"3.22",9.89,18.31,13.07,11.31
"71",1980,3.8,6.9,6.6,11.9,14.2,16.9,17.5,18.7,17.5,11.4,8.3,7.6,"5.83",10.92,17.72,12.4,11.8
"72",1981,6.5,5.1,9.5,10.1,14.7,16.4,18.9,19.7,18.1,10.7,9.7,2.1,"6.45",11.43,18.33,12.84,11.82
"73",1982,4.7,7,9,12.3,15.4,17.4,19.4,19,17.7,12.2,9.2,6.1,"4.53",12.22,18.6,13.03,12.47
"74",1983,8.3,3.6,8.8,9.3,12.2,16.9,22.3,20.8,16.1,12.9,9.1,7.5,"6.08",10.11,20.03,12.71,12.38
"75",1984,4.8,5.3,6.4,11.6,13,17.4,20.6,20.9,15.8,13.8,9.4,7,"5.85",10.32,19.68,13,12.19
"76",1985,3.1,4.8,7.3,11,13.2,15.3,19,17.6,17.6,13.9,6,7.5,"4.95",10.5,17.36,12.48,11.4
"77",1986,4.8,0.9,7.8,8.2,14.6,17.6,19.2,16.2,15.5,13.5,9.9,7.6,"4.55",10.24,17.69,12.98,11.4
"78",1987,2.8,6,6.5,13.2,12.8,15,18.6,18.2,16.6,11.9,8.2,7.5,"5.45",10.79,17.29,12.23,11.46
"79",1988,6.6,6.9,8.4,10.8,14.4,17.4,17.7,18.8,16.1,12.5,8,9.1,"7.02",11.19,17.97,12.2,12.24
"80",1989,8.4,8.4,10.1,8.9,16.4,18.4,21.6,20.3,17.6,14.2,8.6,6.3,"8.64",11.85,20.14,13.46,13.31
"81",1990,8.3,9.2,11.4,12,16.1,16.8,20.3,22.1,16,13.9,8.6,6.4,"7.90",13.17,19.74,12.84,13.45
"82",1991,4.9,4.2,10.2,10.7,13.6,15.2,20.9,21.2,18.2,12.2,8.6,6.9,"5.22",11.51,19.14,12.99,12.3
"83",1992,6,8.2,9.6,11.5,16.8,19.5,19.2,18.7,15.8,9.8,9.4,5.5,"7.02",12.65,19.13,11.65,12.5
"84",1993,7.7,7,9.5,11.6,13.9,18,18.5,17.9,14.8,10.7,6.2,6.5,"6.71",11.65,18.1,10.58,11.88
"85",1994,6.4,4.6,9.8,11.1,12.9,18.1,21.7,18.9,15.1,12.5,11.3,8.1,"5.88",11.26,19.57,12.94,12.58
"86",1995,6.1,8.2,8,11.8,15.2,16.8,22.2,22.6,16.4,15.8,9.6,3.9,"7.42",11.68,20.57,13.96,13.09
"87",1996,4.9,4.9,5.3,11.4,12.2,18.3,20.2,20.3,16.3,14.2,7.7,4.8,"4.55",9.65,19.62,12.73,11.73
"88",1997,4.8,8.8,11.3,12.2,14.8,16.3,20.3,22.2,17,12.8,10.1,7.6,"6.05",12.77,19.63,13.3,13.21
"89",1998,6.8,10.3,10.5,10.3,15.6,16.8,18.6,19,16.9,12.5,7.8,7.5,"8.15",12.17,18.15,12.42,12.75
"90",1999,7.3,7.3,9.9,12.5,15.9,17,21,19.1,19.3,13.3,9.9,6.2,"7.38",12.73,19.07,14.14,13.25
"91",2000,7.3,8.4,10.3,10.9,15,17.7,17.7,20.3,17.4,12.7,8.7,6.8,"7.26",12.07,18.59,12.96,12.78
"92",2001,5.2,6.9,7.3,10.3,16.1,17.1,20.2,20.3,15.8,15.6,10.1,6.1,"6.26",11.27,19.24,13.88,12.64
"93",2002,7.5,9,10.5,12.9,15,17.9,19.4,20.4,17.4,12.2,9.7,6.5,"7.50",12.79,19.26,13.1,13.22
"94",2003,6.4,6.6,11.4,13.5,15.8,19.9,21,21.3,18.7,12.3,10.3,7,"6.48",13.54,20.73,13.75,13.71
"95",2004,6.9,7.5,9.3,12.6,15.8,18.9,19.2,20.3,17.6,12.9,9.7,7.8,"7.12",12.59,19.44,13.38,13.22
"96",2005,8.1,6.5,9.4,12,14.8,19,19.8,19.9,18.3,14.9,9.1,6.8,"7.50",12.07,19.57,14.11,13.26
"97",2006,6.1,6.3,7,11.5,15.3,19.9,24.3,19.1,19.9,15.4,10.6,7.9,"6.42",11.29,21.13,15.32,13.66
"98",2007,9,8.2,10,15,14.9,17.6,18.9,19.4,17.4,14.1,10,6.9,"8.38",13.25,18.64,13.83,13.47
"99",2008,8.3,8.8,8.8,11,16.1,17.8,20.1,19.5,16.6,12.6,8.8,5.8,"7.98",11.98,19.17,12.65,12.87
"100",2009,5.4,6.4,10.4,13.5,15.7,18,20,20.6,17.6,13.9,10.2,4.9,"5.86",13.2,19.55,13.89,13.08
"101",2010,3.2,4.3,9.5,13,14.5,19.2,20.8,19,17.2,12.9,7.2,2,"4.10",12.31,19.64,12.45,11.92
"102",2011,5.8,8.1,10.1,15.8,16,18.3,19.1,18.9,18.5,15,11.4,7.4,"5.20",13.96,18.8,14.99,13.73
"103",2012,7.4,7,12.5,10.1,14.6,16.2,18.4,20.1,16.7,11.9,8.8,6.3,"7.27",12.43,18.25,12.45,12.52
"104",2013,5.2,5.3,4.5,10.9,14.4,17.4,22.5,20.9,17,14.5,8.6,8.6,"5.61",9.93,20.31,13.38,12.54
"105",2014,7.1,8.2,10.8,13.2,15.6,18.5,21.7,18.7,18,14.7,10.3,7.2,"7.95",13.2,19.66,14.36,13.71
"106",2015,6.4,6.6,9.4,13,14.2,17.9,19.4,20,16.4,13.8,11.2,11.1,"6.77",12.19,19.11,13.79,13.32
"107",2016,7.2,7.2,8.9,10.5,15.3,17.5,20.5,20.4,19.1,13.4,7.9,8.6,"8.53",11.59,19.48,13.48,13.07
"108",2017,6.1,8,11.4,12.8,16.8,19.3,19.7,19.3,16.7,14.8,8.9,6.7,"7.55",13.65,19.44,13.49,13.4
"109",2018,6.5,5,7,12.3,17.4,19.5,23.4,20.7,6.1,12.21,21.21,NA,"",NA,NA,NA,NA
